study_id,title,year,integration_pattern,application_domain,problem_class,ai_role,blockchain_role,quantum_role,maturity_level,implementation_maturity,validation_rigor,validation_strategy,evaluation_context,quality_score,reproducibility_status,code_available,data_available,artifact_available,key_finding
S059,An AI-Driven Framework for Integrated Security and Privacy in Internet of Things Using Quantum-Resistant Blockchain,2025,,,,,,,,,,,,5.0,,,,,
S060,"Quantum deep learning-enhanced ethereum blockchain for cloud security: intrusion detection, fraud prevention, and secure data migration",2025,,,,,,,,,,,,5.0,,,,,
S061,Privacy-enhanced data compression using quantum zk-SNARKs and variational auto-encoders in cloud-IoT based healthcare sensor data for medical applications,2025,,,,,,,,,,,,5.0,,,,,
S062,"A Hybrid Quantum-Driven Framework for Secure Cloud Computing using QNN, ZKE, and Block Chain",2025,,,,,,,,,,,,5.0,,,,,
S063,A Low-Cost IoT-Based Real-Time Air Quality Monitoring System Using Multi-Sensor Integration and Bluetooth Communication,2025,,,,,,,,,,,,5.0,,,,,
S064,Development of Digital Currency based on Network Security Encryption Technology and AI Intelligent Information Monitoring,2025,,,,,,,,,,,,5.0,,,,,
S065,When Quantum Federated Learning Meets Blockchain in 6G Networks,2025,,,,,,,,,,,,5.0,,,,,
S066,A study on the dynamic optimization strategy of energy routers in zero-carbon ports based on digital twin technology,2025,,,,,,,,,,,,5.0,,,,,
S067,"A Federated Learning Approach Towards Hybrid Blockchain, Quantum-Key-Encryption based Distributed System: A Futuristic Healthcare Architecture for Smart Cities",2025,,,,,,,,,,,,4.5,,,,,
S068,A MARL-federated blockchain-based quantum secure framework for trust management in industrial internet of things ,2025,,,,,,,,,,,,5.0,,,,,
S069,Variational Quantum Reinforcement Learning for Joint Resource Allocation of Blockchain-Based Vehicular Edge Computing and Quantum Internet,2025,,,,,,,,,,,,5.0,,,,,
S070,Enhancing Electoral Integrity: A Hybrid Blockchain-Based E-Voting System with Deep Learning and Post-quantum Cryptography,2025,,,,,,,,,,,,4.5,,,,,
S071,Machine Learning Ensures Quantum-Safe Blockchain Availability,2025,,,,,,,,,,,,4.5,,,,,
S072,Hybrid Quantum Teaching With Adaptive Group Termite Alate Optimization Based Optimal Mixed Block Withholding Attacks,2025,,,,,,,,,,,,4.5,,,,,
S073,Cyber-XAI-Block: an end-to-end cyber threat detection & fl-based risk assessment framework for iot enabled smart organization using xai and blockchain technologies,2025,,,,,,,,,,,,4.5,,,,,
S074,AI-optimized blockchain security for smart agriculture using post-quantum cryptography and graph neural network-based threat detection,2025,,,,,,,,,,,,5.0,,,,,
S075,Analyzing blockchain-based waste management investments in smart cities using quantum picture fuzzy rough modelling,2025,,,,,,,,,,,,4.5,,,,,
S076,Towards Quantum-Resilient Food Systems: Federated AI and Lightweight Lattice Hashing for Blockchain-Based Traceability,2025,,,,,,,,,,,,5.0,,,,,
S077,QuanFraud: Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks,2025,,,,,,,,,,,,5.0,,,,,
